image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.975136,bus,van,False
drive_022,2,5,0.824402,truck,bus,False
drive_022,3,3,0.845307,car,car,True
drive_022,4,4,0.806186,car,car,True
drive_022,5,1,0.834209,car,car,True
drive_033,1,2,0.862816,truck,bus,False
drive_033,2,7,0.853427,car,car,True
drive_033,3,3,0.67718,car,car,True
drive_033,4,4,0.726972,car,car,True
drive_033,5,9,0.730296,car,car,True
drive_033,7,5,0.849578,car,car,True
drive_033,13,6,0.661965,car,car,True
drive_033,14,8,0.674859,car,car,True
drive_033,15,12,0.880586,bus,van,False
drive_033,16,10,0.744903,car,car,True
drive_033,17,11,0.830665,car,car,True
drive_033,18,1,0.982742,bus,van,False
drive_038,1,5,0.868631,truck,bus,False
drive_038,2,3,0.907338,car,car,True
drive_038,3,2,0.925278,car,car,True
drive_038,4,1,0.904861,car,car,True
drive_038,5,4,0.939512,car,car,True
drive_038,6,8,0.900996,car,car,True
drive_038,7,10,0.79528,car,car,True
drive_038,8,13,0.894339,car,car,True
drive_038,9,7,0.865723,car,car,True
drive_038,10,11,0.839776,car,car,True
drive_038,11,12,0.857787,car,car,True
drive_038,12,6,0.823569,car,car,True
drive_038,13,14,0.812779,car,car,True
drive_038,14,9,0.914233,truck,bus,False
drive_038,15,15,0.926269,car,truck,False
drive_038,16,17,0.838229,car,car,True
drive_038,17,16,0.928621,car,car,True
drive_008,1,16,0.888066,car,car,True
drive_008,2,12,0.92571,van,truck,False
drive_008,3,1,0.800405,truck,bus,False
drive_008,4,11,0.781505,truck,car,False
drive_008,5,6,0.816555,car,car,True
drive_008,6,3,0.861069,car,truck,False
drive_008,7,9,0.955802,bus,van,False
drive_008,8,7,0.767517,car,car,True
drive_008,10,2,0.855233,car,car,True
drive_008,13,15,0.220634,car,car,True
